,hour,day,month,source,destination,cab_type,name,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,short_summary,long_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,icon,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
hour,1,0.043863992,0.07973441,0.003245587,0.003740504,0.001442163,0.000200264,0.000561151,0.002283273,6.68E-05,0.019228066,0.005986308,0.218829342,0.19821164,0.120925308,0.045783166,0.233245873,0.129630955,0.275777815,0.073010566,0.077645993,0.028544301,0.173775905,0.005191176,0.028322777,0.014999659,0.027267476,0.005517771,0.02848142,0.015721681,0.027438189,0.04095255,0.004863022,0.067787241,0.036291798,0.026679986,0.330326364,0.173775905,0.034035333,0.028016214,0.02801406,0.020997092,0.02028804,0.027996713,0.015667993,0.027486424,0.002981568,0.028479248,0.015882331,0.028172427,0.00290371,0.028272717
day,,1,0.804018798,5.55E-05,0.001287064,0.002611814,0.001507551,0.000952375,0.001085112,0.001726344,0.010582294,0.067447341,0.093504057,0.24775368,0.029619582,0.283361004,0.064867183,0.007088672,0.121251893,0.480422359,0.453173222,0.248038683,0.124602928,0.298324956,0.252214035,0.160862573,0.241704751,0.43076533,0.252314612,0.278398713,0.244130531,0.045083594,0.123709691,0.448298834,0.125895701,0.053599314,0.017514598,0.124602928,0.428741455,0.250252526,0.250195269,0.04348615,0.101091542,0.250430746,0.039139786,0.241982578,0.307976059,0.254300186,0.039182994,0.244252012,0.462574356,0.254049728
month,,,1,0.00040598,0.000200073,0.001100453,0.000205492,0.000913462,0.002401998,0.00061247,0.08594642,0.126763278,0.08204785,0.024773247,0.023832583,0.146270127,0.154356311,0.097803013,0.022078035,0.334897241,0.27054104,0.767338689,0.011129116,0.068093738,0.772118735,0.138703204,0.76555077,0.152478562,0.772227129,0.087018663,0.766883379,0.072997999,0.074906174,0.589682703,0.135316856,0.01676679,0.012339534,0.011129116,0.149111381,0.770749292,0.770711508,0.452654952,0.213300808,0.770832358,0.191928301,0.765318669,0.105112758,0.773056717,0.191292678,0.766097042,0.214927555,0.772962325
source,,,,1,0.007665726,0.000915129,0.000262475,0.025366076,0.088964123,0.033919394,0.001051266,0.000743766,0.000455002,0.000148707,4.51E-05,0.000613055,0.003883362,0.002890208,0.001318973,0.000810083,4.57E-05,0.000966363,0.000531711,0.00030092,0.000854607,0.003494506,0.000780963,0.000533897,0.000845511,0.002402583,0.000780507,0.003203886,0.001118138,0.001035844,0.003954996,0.001037672,0.001386573,0.000531711,0.000762074,0.000833656,0.000833595,0.00267016,0.000665835,0.000828255,0.000402053,0.00067525,0.000162355,0.000908814,0.000259265,0.00073597,8.08E-05,0.000885755
destination,,,,,1,0.000840741,0.000242303,0.04631964,0.14951272,0.001061364,0.004223096,0.006175477,9.26E-05,0.000561649,0.003337674,0.000240303,0.002391876,0.003582355,0.001848631,0.002571725,0.001486333,0.00165256,0.0033597,0.001458993,0.00171566,0.000240518,0.00165936,0.002573763,0.001695841,0.001697005,0.00161606,0.005043504,0.001036479,0.001193452,0.002707816,0.001513288,0.003092836,0.0033597,0.003150671,0.001665074,0.001665364,0.000577141,0.001213401,0.001662753,0.000102583,0.001576405,0.001059848,0.001683,0.001387728,0.001561782,0.002122374,0.001664372
cab_type,,,,,,1,0.28604116,0.08338528,0.001941146,0.163745235,0.004226975,0.002077385,0.002004238,0.003203149,0.000532374,0.001348774,0.001601539,0.002572369,0.002236571,0.003426758,0.002849587,0.000819816,0.001741387,0.003429403,0.000853555,0.004242053,0.000919696,0.003866276,0.00084714,0.004122884,0.000905063,0.002370177,0.00028513,0.000669334,0.000781391,0.000663251,0.000573966,0.001741387,0.000488409,0.00086743,0.000867773,0.001567243,0.000354175,0.000874594,0.001588297,0.000920384,0.003311189,0.000834349,0.002655639,0.000864977,0.003811881,0.00082166
name,,,,,,,1,0.586643771,0.000555775,0.068808032,0.000878665,0.001318809,0.001769311,0.002182396,0.00123937,0.000589242,0.001278752,0.000558748,0.00012654,0.000628481,0.000359503,0.000974228,0.000227239,0.002176008,0.001103933,0.00347605,0.001142965,0.002484342,0.001111093,0.00386789,0.00113558,0.001120577,0.001349069,0.000732014,0.001756553,0.001207976,0.000268805,0.000227239,0.001417485,0.001097742,0.001097855,0.000514062,0.001718271,0.00109709,0.001191941,0.001098472,0.002100098,0.001091937,0.001781293,0.001035602,0.002451257,0.001099377
price,,,,,,,,1,0.345061066,0.240458127,0.002088453,0.001417153,8.42E-05,0.000192669,0.001244733,0.000396457,0.000166111,0.000242564,0.001237872,0.000989767,0.001218007,0.000851316,0.001496503,0.000515712,0.000758694,0.000182287,0.000753702,0.000261009,0.000740787,0.000831187,0.000761441,0.002100034,0.000614927,0.000865564,0.001381976,0.000882658,0.000423535,0.001496503,0.000460254,0.000759932,0.000759942,0.001601931,0.001113975,0.000763349,0.00042834,0.000769384,0.000549713,0.000766168,0.000579651,0.000813765,0.000289692,0.000746481
distance,,,,,,,,,1,0.025946126,0.000984374,0.00041534,0.002738459,0.002835151,0.000981275,0.002943081,0.000511966,0.000133948,0.003848526,0.001708873,0.000920401,0.003371323,0.004142818,0.003795203,0.003337705,0.001744322,0.003281536,0.003698543,0.003316897,0.001005781,0.003311005,0.002144099,0.003920262,0.003565187,0.002638485,0.000958322,0.002421636,0.004142818,0.001206257,0.00329089,0.00329095,0.004301435,0.000670023,0.003297936,0.003192068,0.003165681,0.003874954,0.003318334,0.00364867,0.003266017,0.003888565,0.003318935
surge_multiplier,,,,,,,,,,1,0.001471431,0.001960921,0.001593794,0.002586404,0.002304327,0.003834449,0.001522405,0.002825235,0.001677153,0.002593377,0.002161677,0.00047671,0.00171598,0.001943033,0.000560102,0.002669245,0.000614117,0.002097565,0.000559158,0.003087598,0.000591644,0.000357638,0.001860234,0.0031086,0.002171066,0.002100796,0.002567195,0.00171598,0.003456437,0.000584603,0.000584767,0.000163407,9.00E-05,0.000584574,0.000716401,0.000593894,0.001997784,0.000562692,0.001316899,0.000502462,0.002213918,0.000558899
