Ticker,Sector,Industry,Region,Market Cap Classification,Volatility Classification,Growth vs Value,P/E Ratio,Dividend Yield (%),Beta,Avg Volume,Recent Close Price,EPS,Revenue,Net Income,Debt-to-Equity Ratio,ROE,P/B Ratio,Free Cash Flow,Analyst Ratings,Insider Transactions
DLR,Real Estate,REIT - Specialty,North America,Large Cap,Low Volatility,Growth,159.09756,2.49,0.609,1897076.892,195.6900024,1.23,5374854144,400507008,79.825,0.01956,3.1607766,1886113536,buy,Negative
VOYA,Financial Services,Financial Conglomerates,North America,Mid Cap,Medium Volatility,Value,13.153725,2.17,1.03,795424.3028,83,6.31,7858999808,651000000,63.902,0.12824,1.7085924,942374976,buy,Negative
TRV,Financial Services,Insurance - Property & Casualty,North America,Large Cap,Low Volatility,Value,13.6641,1.5800001,0.63,1312178.486,266.0400085,19.47,45341999104,4509000192,29.004,0.19059,2.1804948,14567124992,buy,Positive
CSV,Consumer Cyclical,Personal Services,North America,Small Cap,Medium Volatility,Growth,18.183855,1.11,0.907,105961.753,40.54999924,2.23,405332000,34320000,285.09,0.1933,3.1156356,50919124,buy,Positive
ARDX,Healthcare,Biotechnology,North America,Small Cap,Medium Volatility,Unknown,,0,0.914,5058471.713,5.670000076,-0.32,251848992,-72583000,81.406,-0.4154,8.488025,-6630875,strongBuy,Negative
EXPO,Industrials,Engineering & Construction,North America,Mid Cap,Low Volatility,Growth,47.917477,1.13,0.695,246075.6972,98.70999908,2.06,508598016,106342000,19.709,0.27842,12.213561,116237248,buy,Negative
LMNR,Consumer Defensive,Farm Products,North America,Small Cap,Low Volatility,Growth,89.677414,1.08,0.471,51007.96813,27.79999924,0.31,189075008,5514000,21.437,0.02698,2.7241547,-5846125,buy,Positive
RL,Consumer Cyclical,Apparel Manufacturing,North America,Large Cap,High Volatility,Growth,22.080153,1.43,1.504,851756.5737,231.3999939,10.48,6740100096,683800000,109.237,0.28424,5.883699,793900032,buy,Negative
CCOI,Communication Services,Telecom Services,North America,Mid Cap,Low Volatility,Growth,119.115944,4.84,0.38,430045.0199,82.19000244,0.69,976012992,39396000,703.942,0.1029,12.047787,101075376,buy,Negative
WASH,Financial Services,Banks - Regional,North America,Small Cap,Low Volatility,Value,13.910111,6.0300004,0.796,98144.22311,37.13999939,2.67,188967008,45663000,,0.097849995,1.2614632,,strongSell,Positive
CVBF,Financial Services,Banks - Regional,North America,Mid Cap,Low Volatility,Growth,16.492958,3.42,0.438,849798.8048,23.42000008,1.42,518204000,196952992,,0.09562001,1.4884017,,buy,Positive
DBX,Technology,Software - Infrastructure,North America,Mid Cap,Low Volatility,Growth,15.988439,0,0.607,3562484.861,27.65999985,1.73,2539599872,576800000,,,,773049984,sell,Negative
CDP,Real Estate,REIT - Office,North America,Mid Cap,Medium Volatility,Growth,27.231405,3.58,1.005,889135.8566,32.95000076,1.21,749502976,136968992,155.962,0.09172,2.4882948,218055872,strongBuy,Positive
NEE,Utilities,Utilities - Regulated Electric,North America,Large Cap,Low Volatility,Growth,23.344213,2.6199998,0.561,10946941.83,78.66999817,3.37,26246000640,6952999936,139.015,0.09887999,3.2322607,-16568750080,buy,Negative
MCO,Financial Services,Financial Data & Stock Exchanges,North America,Large Cap,High Volatility,Growth,45.660275,0.68,1.289,739825.8964,499.980011,10.95,6896000000,2003000064,197.861,0.54016,23.204159,1952999936,buy,Negative
ETR,Utilities,Utilities - Regulated Electric,North America,Large Cap,Low Volatility,Growth,18.9757,3.07,0.701,1606829.88,156.1699982,8.23,11862153216,1756744960,188.807,0.11951,2.2274044,-1582116992,buy,Negative
GEF,Consumer Cyclical,Packaging & Containers,North America,Mid Cap,Medium Volatility,Growth,15.441304,3.04,0.925,170973.7052,71.02999878,4.6,5339400192,266500000,145.965,0.13734001,1.6292032,52150000,strongBuy,Positive
TTEK,Industrials,Engineering & Construction,North America,Large Cap,Medium Volatility,Growth,33.747967,0.53,0.939,1488804.781,41.50999832,1.23,4234779904,290876992,55.515,0.18655,6.037818,359327360,buy,Negative
CTBI,Financial Services,Banks - Regional,North America,Small Cap,Low Volatility,Value,13.404545,3.19,0.65,50235.45817,58.97999954,4.4,226756000,78979000,,0.11173,1.3995539,,buy,Negative
WTI,Energy,Oil & Gas E&P,North America,Small Cap,High Volatility,Unknown,,2.0599999,1.399,2163846.614,1.940000057,-0.43,537256000,-64226000,,,,61820752,buy,Negative
ATRO,Industrials,Aerospace & Defense,North America,Small Cap,High Volatility,Unknown,,0,1.835,177106.7729,16.14999962,-0.16,782177984,-6407000,82.447,-0.02661,2.2711291,-2704375,buy,Positive
COLM,Consumer Cyclical,Apparel Manufacturing,North America,Mid Cap,Medium Volatility,Growth,24.436975,1.38,0.925,451216.7331,87.23999786,3.57,3331987968,214056000,23.595,0.11625,2.7947206,522510752,strongBuy,Negative
ALB,Basic Materials,Specialty Chemicals,North America,Large Cap,High Volatility,Unknown,,1.5,1.551,2955762.948,107.6999969,-16.76,6501978112,-1967380992,35.334,-0.17662,1.5812656,-1791566336,buy,Negative
PNW,Utilities,Utilities - Regulated Electric,North America,Large Cap,Low Volatility,Growth,17.612782,3.82,0.518,1151980.08,93.69999695,5.32,5021081088,615609984,168.24,0.09578,1.609219,-297728992,strongBuy,Positive
MDXG,Healthcare,Biotechnology,North America,Small Cap,High Volatility,Growth,16.228071,0,1.939,747520.7171,9.25,0.57,342804000,79389000,10.507,0.62473,7.5081167,45828000,buy,Positive
HAFC,Financial Services,Banks - Regional,North America,Small Cap,Medium Volatility,Value,12.716347,3.78,0.826,227535.4582,26.45000076,2.08,232767008,62663000,,0.09019,1.077086,,buy,Positive
CFFN,Financial Services,Banks - Regional,North America,Small Cap,Low Volatility,Growth,23.034483,5.09,0.451,856849.8008,6.679999828,0.29,166046000,38010000,,0.03661,0.8409921,,strongSell,Negative
SAM,Consumer Defensive,Beverages - Brewers,North America,Mid Cap,Medium Volatility,Growth,46.50588,0,1.06,149943.4263,316.2399902,6.8,2004349056,80134000,3.766,0.07525,3.5466034,138086256,sell,Negative
ALV,Consumer Cyclical,Auto Parts,North America,Mid Cap,High Volatility,Value,12.939948,2.8199999,1.602,693685.259,99.12000275,7.66,10524999680,630000000,103.742,0.2638,3.411696,441875008,buy,Neutral
HOMB,Financial Services,Banks - Regional,North America,Mid Cap,Medium Volatility,Growth,16.371134,2.4600001,1.041,1003627.092,31.76000023,1.94,967420032,387920000,,0.10189,1.5950983,,buy,Negative
AMPH,Healthcare,Drug Manufacturers - Specialty & Generic,North America,Mid Cap,Medium Volatility,Growth,15.0132885,0,0.824,403172.1116,45.18999863,3.01,723548992,157722000,86.556,0.23846,3.004055,8609125,buy,Negative
MUSA,Consumer Cyclical,Specialty Retail,North America,Large Cap,Low Volatility,Growth,22.627014,0.34999999,0.756,195428.6853,547.7999878,24.21,18275201024,510000000,282.568,0.60925,13.362931,339112512,buy,Positive
CCI,Real Estate,REIT - Specialty,North America,Large Cap,Medium Volatility,Growth,37.677307,5.89,0.875,2727831.474,106.25,2.82,6592999936,1228000000,559.592,0.20527,8.726899,1308000000,buy,Negative
