Ticker,Sector,Industry,Region,Market_Cap,Market_Cap_Classification,Volatility_Classification,Growth_vs_Value,P/E_Ratio,Dividend_Yield_percent,52_Week_High,52_Week_Low,Beta,Avg_Volume,Avg_Close_Price
DLR,Real Estate,REIT - Specialty,North America,66026000384,Mid Cap,Low Volatility,Growth,159.09756,2.4899999999999998,198.0,130.0,0.609,1897076.892430279,148.26501385814166
VOYA,Financial Services,Financial Conglomerates,North America,7986127360,Small Cap,High Volatility,Value,13.153725,2.17,84.3,63.11,1.03,795424.3027888446,72.08395771771313
TRV,Financial Services,Insurance - Property & Casualty,North America,60536872960,Mid Cap,Low Volatility,Value,13.6641,1.5800001000000001,269.56,180.44,0.63,1312178.486055777,218.24794529158757
CSV,Consumer Cyclical,Personal Services,North America,617296704,Small Cap,Low Volatility,Value,18.183855,1.11,40.89,22.84,0.907,105961.75298804781,28.358785484891488
ARDX,Healthcare,Biotechnology,North America,1347702272,Small Cap,Low Volatility,Unknown,,0.0,10.13,4.341,0.914,5058471.71314741,6.785796807581685
EXPO,Industrials,Engineering & Construction,North America,5010963968,Small Cap,Low Volatility,Growth,47.917477,1.13,115.75,68.7,0.695,246075.69721115538,93.65637352932022
LMNR,Consumer Defensive,Farm Products,North America,501842816,Small Cap,Low Volatility,Growth,89.677414,1.08,29.22,17.37,0.471,51007.96812749004,21.472871894380486
RL,Consumer Cyclical,Apparel Manufacturing,North America,13827445760,Mid Cap,High Volatility,Growth,22.080153,1.43,237.16,127.68,1.504,851756.5737051793,172.64525279010908
TR,Consumer Defensive,Confectioners,North America,2342129408,Small Cap,Low Volatility,Growth,25.267176,1.09,34.796116,27.58,0.178,146739.73705179282,30.747577887607285
CNL,Basic Materials,Gold,North America,276601632,Small Cap,Low Volatility,Unknown,,0.0,4.04,2.43,0.87,6938.709677419355,3.279924738791681
CCOI,Communication Services,Telecom Services,North America,4047939840,Small Cap,Low Volatility,Growth,119.115944,4.84,86.76,50.8,0.38,430045.01992031874,67.60944746405005
WASH,Financial Services,Banks - Regional,North America,636861824,Small Cap,Low Volatility,Value,13.910111,6.0300004,40.59,24.11,0.796,98144.22310756972,28.5234463224373
CVBF,Financial Services,Banks - Regional,North America,3328520960,Small Cap,Low Volatility,Value,16.492958,3.42,24.58,15.71,0.438,849798.8047808765,17.776131918705794
DBX,Technology,Software - Infrastructure,North America,8440974336,Small Cap,Low Volatility,Value,15.988439,0.0,33.43,20.68,0.607,3562484.860557769,25.416454178403573
CDP,Real Estate,REIT - Office,North America,3769216512,Small Cap,High Volatility,Growth,27.231405,3.58,34.22,22.2,1.005,889135.8565737052,26.168876571959235
NEE,Utilities,Utilities - Regulated Electric,North America,161776992256,Large Cap,Low Volatility,Growth,23.344213,2.6199998,86.1,53.95,0.561,10946941.832669323,69.3248794829228
MCO,Financial Services,Financial Data & Stock Exchanges,North America,90774863872,Mid Cap,High Volatility,Growth,45.660275,0.6799999999999999,503.95,360.05,1.289,739825.8964143427,421.6597536854535
ETR,Utilities,Utilities - Regulated Electric,North America,33533446144,Mid Cap,Low Volatility,Value,18.9757,3.0700000000000003,158.07,96.15,0.701,1606829.8804780876,111.86163779938839
GEF,Consumer Cyclical,Packaging & Containers,North America,3433341440,Small Cap,Low Volatility,Value,15.441304,3.04,73.16,55.95,0.925,170973.70517928287,62.5762482297373
TTEK,Industrials,Engineering & Construction,North America,11113927680,Mid Cap,Low Volatility,Growth,33.747967,0.53,51.2,31.608,0.939,1488804.780876494,40.47111552265061
CTBI,Financial Services,Banks - Regional,North America,1065054912,Small Cap,Low Volatility,Value,13.404545,3.19,61.67,38.44,0.65,50235.458167330675,44.60652940301781
WTI,Energy,Oil & Gas E&P,North America,285874528,Small Cap,High Volatility,Unknown,,2.0599999,3.44,1.9,1.399,2163846.613545817,2.4431029012003744
ATRO,Industrials,Aerospace & Defense,North America,479414368,Small Cap,High Volatility,Unknown,,0.0,23.74,14.13,1.835,177106.77290836655,18.640637443360106
COLM,Consumer Cyclical,Apparel Manufacturing,North America,4989647872,Small Cap,Low Volatility,Growth,24.436975,1.38,88.62,73.04,0.925,451216.7330677291,79.81737664211319
ALB,Basic Materials,Specialty Chemicals,North America,12692014080,Mid Cap,High Volatility,Unknown,,1.5,153.54,71.97,1.551,2955762.948207171,109.8233938939068
PNW,Utilities,Utilities - Regulated Electric,North America,10746920960,Mid Cap,Low Volatility,Value,17.612782,3.82,95.42,65.2,0.518,1151980.079681275,77.26873396307349
MDXG,Healthcare,Biotechnology,North America,1385705472,Small Cap,High Volatility,Value,16.228071,0.0,9.64,5.47,1.939,747520.717131474,7.284541842472031
HAFC,Financial Services,Banks - Regional,North America,807753920,Small Cap,Low Volatility,Value,12.716347,3.7800000000000002,27.59,14.45,0.826,227535.45816733068,17.58322639389342
